date,debate,speaker,speaker_id,context,speech_url
1903-05-27,GOVERNOR-GENERAL'S SPEECH : ADDRESS IN REPLY,Mr A McLEAN,KRO, inducement to useful immigrants to settle amongst us. It will be a fatal blunder to build a **Chinese**,https://historichansard.net/hofreps/1903/19030527_reps_1_13/#debate-6-s4
1903-05-28,GOVERNOR-GENERAL'S SPEECH :  ADDRESS IN REPLY,Mr WATSON,F4R,Yes ; from the returns relating to the **Chinese**. ,https://historichansard.net/hofreps/1903/19030528_reps_1_13/#debate-11-s3
1903-06-02,QUESTION: GOVERNOR-GENERAL'S SPEECH : ADDRESS IN REPLY,Sir L ANG DON BONYTHON,JR7," to the Australian Squadron were released for service in **Chinese** waters, where they were joined",https://historichansard.net/hofreps/1903/19030602_reps_1_13/#subdebate-7-0-s3
1903-05-29,PAPERS,Sir EDMUND BARTON,009LR,Papers relating to the refusal of certificates of domicile to three **Chinese**. ,https://historichansard.net/hofreps/1903/19030529_reps_1_13/#debate-1-s0
1903-06-12,QUESTION: COMMONWEALTH COINAGE,Mr G B EDWARDS,KDD,", have been availed of there for so many years, succeeded in teaching blind **Chinese** to read within",https://historichansard.net/hofreps/1903/19030612_reps_1_13/#subdebate-4-0-s0
1903-07-01,CANADIAN-AUSTRALIAN MAIL CONTRACT,Mr WILKS,L17," which we gain from subsidizing the line. We subsidize companies which employ **Chinese**, Lascars, Cingalese",https://historichansard.net/hofreps/1903/19030701_reps_1_14/#debate-10-s11
1902-07-29,ELECTORAL BILL,Mr V L SOLOMON,KU9,"Clause 190 having been postponed, this clause at present is somewhat like a **Chinese** puzzle. Who",https://historichansard.net/hofreps/1902/19020729_reps_1_11/#debate-4-s13
1976-06-01,QUESTION: AUSTRALIA AND THE WORLD SITUATION,Mr SPEAKER,10000," to ingratiate himself with the **Chinese**. Wedded as he is to the doctrines of confrontation, to notions",https://historichansard.net/hofreps/1976/19760601_reps_30_hor99/#subdebate-29-0-s2
1902-07-29,ADJOURNMENT,Mr DEAKIN,009MD, to the Treasurer for an advance so that it may be proceeded with. The question of the introduction of **Chinese**,https://historichansard.net/hofreps/1902/19020729_reps_1_11/#debate-6-s6
1903-07-14,NAVAL AGREEMENT BILL: Second Reading,Mr FOWLER,JWG," of the Admiralty authorities, can be ordered by them into any part of the1 **Chinese** waters. Let us assume",https://historichansard.net/hofreps/1903/19030714_reps_1_14/#subdebate-13-0-s6
1903-07-31,QUESTION: KADINA POST-OFFICE,Mr BAMFORD,JNV, of the **Chinese**. My whole record will satisfy honorable members on that point. But having listened,https://historichansard.net/hofreps/1903/19030731_reps_1_15/#subdebate-2-0-s8
1903-07-31,QUESTION: KADINA POST-OFFICE,Sir WILLIAM LYNE,KIN," of the AttorneyGeneral of the Commonwealth, were thus composed : - South Sea Islanders, 8,760 ; **Chinese**, 8,445",https://historichansard.net/hofreps/1903/19030731_reps_1_15/#subdebate-2-0-s9
1903-07-15,NAVAL AGREEMENT BILL,Mr HENRY WILLIS,L1D, which is stationed in the China seas. If the life-and-death struggle were to occur in **Chinese**,https://historichansard.net/hofreps/1903/19030715_reps_1_14/#debate-9-s2
